Month,Passengers
01-01-1995,112
01-02-1995,118
01-03-1995,132
01-04-1995,129
01-05-1995,121
01-06-1995,135
01-07-1995,148
01-08-1995,148
01-09-1995,136
01-10-1995,119
01-11-1995,104
01-12-1995,118
01-01-1996,115
01-02-1996,126
01-03-1996,141
01-04-1996,135
01-05-1996,125
01-06-1996,149
01-07-1996,170
01-08-1996,170
01-09-1996,158
01-10-1996,133
01-11-1996,114
01-12-1996,140
01-01-1997,145
01-02-1997,150
01-03-1997,178
01-04-1997,163
01-05-1997,172
01-06-1997,178
01-07-1997,199
01-08-1997,199
01-09-1997,184
01-10-1997,162
01-11-1997,146
01-12-1997,166
01-01-1998,171
01-02-1998,180
01-03-1998,193
01-04-1998,181
01-05-1998,183
01-06-1998,218
01-07-1998,230
01-08-1998,242
01-09-1998,209
01-10-1998,191
01-11-1998,172
01-12-1998,194
01-01-1999,196
01-02-1999,196
01-03-1999,236
01-04-1999,235
01-05-1999,229
01-06-1999,243
01-07-1999,264
01-08-1999,272
01-09-1999,237
01-10-1999,211
01-11-1999,180
01-12-1999,201
01-01-2000,204
01-02-2000,188
01-03-2000,235
01-04-2000,227
01-05-2000,234
01-06-2000,264
01-07-2000,302
01-08-2000,293
01-09-2000,259
01-10-2000,229
01-11-2000,203
01-12-2000,229
01-01-2001,242
01-02-2001,233
01-03-2001,267
01-04-2001,269
01-05-2001,270
01-06-2001,315
01-07-2001,364
01-08-2001,347
01-09-2001,312
01-10-2001,274
01-11-2001,237
01-12-2001,278
01-01-2002,284
01-02-2002,277
01-03-2002,317
01-04-2002,313
01-05-2002,318
01-06-2002,374
01-07-2002,413
01-08-2002,405
01-09-2002,355
01-10-2002,306
01-11-2002,271
01-12-2002,306
