Quarter,Sales
1986Q1,1734.827
1986Q2,2244.960999
1986Q3,2533.804993
1986Q4,2154.962997
1987Q1,1547.818996
1987Q2,2104.411995
1987Q3,2014.362999
1987Q4,1991.746998
1988Q1,1869.049999
1988Q2,2313.631996
1988Q3,2128.32
1988Q4,2026.828999
1989Q1,1910.603996
1989Q2,2331.164993
1989Q3,2206.549995
1989Q4,2173.967995
1990Q1,2148.278
1990Q2,2739.307999
1990Q3,2792.753998
1990Q4,2556.009995
1991Q1,2480.973999
1991Q2,3039.522995
1991Q3,3172.115997
1991Q4,2879.000999
1992Q1,2772
1992Q2,3550
1992Q3,3508
1992Q4,3243.859993
1993Q1,3056
1993Q2,3899
1993Q3,3629
1993Q4,3373
1994Q1,3352
1994Q2,4342
1994Q3,4461
1994Q4,4017
1995Q1,3854
1995Q2,4936
1995Q3,4895
1995Q4,4333
1996Q1,4194
1996Q2,5253
